"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito";"Proposta"
"ALESSANDRA RIBEIRO MARTINS";"ALESSANDRA RIBEIRO";"Prefeito";65;"PC do B";"PC do B";"Aguardando julgamento";"Concorrendo";"PDF"
"ANDRÉ LUIZ DE CAMARGO VON ZUBEN";"ANDRÉ VON ZUBEN";"Prefeito";23;"CIDADANIA";"CAMPINAS MERECE MAIS";"Aguardando julgamento";"Concorrendo";"PDF"
"ARTUR CASSEB ORSI";"ARTUR ORSI";"Prefeito";55;"PSD";"PSD";"Aguardando julgamento";"Concorrendo";"PDF"
"DARIO JORGE GIOLO SAADI";"DARIO SAADI";"Prefeito";10;"REPUBLICANOS";"PRONTOS PRA CAMPINAS";"Aguardando julgamento";"Concorrendo";"PDF"
"TERESINHA DE CARVALHO";"DELEGADA TERESINHA";"Prefeito";14;"PTB";"MUDANÇA PRA VALER";"Aguardando julgamento";"Concorrendo";"PDF"
"HÉLIO DE OLIVEIRA SANTOS";"DR HÉLIO";"Prefeito";12;"PDT";"PDT";"Aguardando julgamento";"Concorrendo";"SCAN"
"LAURA LEAL DE CASTRO";"LAURA LEAL";"Prefeito";16;"PSTU";"PSTU";"Aguardando julgamento";"Concorrendo";"PDF"
"PEDRO TOURINHO DE SIQUEIRA";"PEDRO TOURINHO";"Prefeito";13;"PT";"DEMOCRACIA, DIREITOS E LIBERDADE";"Aguardando julgamento";"Concorrendo";"PDF"
"AHMED TARIQUE TOMBOUCTOU AGIO";"PROF AHMED TARIQUE AGIO";"Prefeito";33;"PMN";"PMN";"Aguardando julgamento";"Concorrendo";"PDF"
"RAFAEL FERNANDO ZIMBALDI";"RAFA ZIMBALDI";"Prefeito";22;"PL";"MAIS POR CAMPINAS, MELHOR PRA VOCÊ";"Aguardando julgamento";"Concorrendo";"PDF"
"ROGERIO MENEZES DE MELLO";"ROGERIO MENEZES";"Prefeito";43;"PV";"PV";"Aguardando julgamento";"Concorrendo";"NC"
"ROGÉRIO STRACIALANO PARADA";"ROGERIO PARADA";"Prefeito";28;"PRTB";"PRTB";"Aguardando julgamento";"Concorrendo";"PDF"
"WILSON KELLER DE MATOS";"WILSON MATOS";"Prefeito";51;"PATRIOTA";"PATRIOTA";"Aguardando julgamento";"Concorrendo";"PDF"
